gp23,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
gp24,724136,915224,5726,797959,591480,1084343,152476,837828,1069528,1390556,1423360,622670,988311,1069021,771452,477590,0,448975,563334,256690,3430,615574,34734,81466,616426,197722,53784,13550,357026,697041,238294,837828,657322,837828,674554,657322,197722,657322,250096
gp25,724136,915224,5822,797959,591576,1084343,152572,837828,1069624,1390482,1423360,622766,988311,1069021,771452,477590,96,448975,563430,256690,3526,615670,34830,81562,616522,197722,53880,13646,357026,697041,238294,837828,657322,837828,674554,657322,197722,657322,250096
gp26,720032,915224,18908,797959,604662,1084343,139294,837828,1082710,1403738,1424722,609488,988283,1068955,758270,464408,13182,435793,576516,251464,9752,615574,21552,68284,616426,184540,40602,368,357026,697041,233068,837828,657322,837828,674554,657322,184540,657322,236914
gp27,727356,910450,40460,795271,626214,1078015,120584,829022,1104262,1419326,1431522,612668,981071,1067847,742038,444886,34734,418651,592104,235060,31304,609610,0,46732,610462,162988,19050,21184,348220,691749,233450,829022,651358,829694,668590,651358,162988,651358,218204
gp28,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
gp29,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
gp30,121210,1408474,608008,1366265,933028,1230485,597804,1417110,465454,1129838,1242624,29548,1113107,1091465,797228,869548,604074,752367,647898,860764,607504,962638,638808,685540,963896,801796,657858,617624,920334,1024905,842368,1417110,1024280,1417110,1022024,1024280,801796,1024280,715318
jaccard,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
ochiai,510398,919902,632638,902321,813480,852001,734726,916738,634054,1193840,1203538,508694,955495,934435,907404,785590,632638,806717,888252,670102,632638,788350,635760,648694,787632,670102,641112,632638,418768,754007,625280,916738,753168,916738,770400,753168,670102,753168,756580
tarantula,510398,919902,632638,902321,813480,852001,734726,916738,634054,1193840,1203538,508694,955495,934435,907404,785590,632638,806717,888252,670102,632638,788350,635760,648694,787632,670102,641112,632638,418768,754007,625280,916738,753168,916738,770400,753168,670102,753168,756580
ample,1370376,473312,797892,67,659926,835139,872778,129276,1464398,1143474,1069112,1369200,634795,719447,1043168,866284,797892,967599,1015162,801048,797892,623974,795204,786072,623050,801048,791388,797892,555208,644721,825598,129276,604618,129276,640282,604618,801048,604618,887526
wong1,1118896,748762,750774,698003,296900,684511,654370,679206,1206632,922970,943448,1120600,878755,929109,897046,679206,750774,590199,937576,679206,750774,212130,744810,720102,209708,679206,734586,750774,427852,94663,730326,679206,93452,679206,151580,93452,679206,93452,592728
wong2,121626,1410042,609072,1367553,933812,1231773,600548,1418398,462710,1128798,1241668,30588,1114675,1092753,799692,872012,606818,755111,648682,863508,610248,963926,641552,688284,965184,804540,660602,620368,921622,1026193,845112,1418398,1025568,1418398,1023312,1025568,804540,1025568,718062
wong3,208942,1295244,599036,1314329,1021172,1232501,514952,1345654,647186,1263834,1355218,155592,1088189,1089513,733262,802726,593310,673157,736042,715068,589880,1015124,576188,602688,1015352,620064,587330,579760,864852,1026921,699372,1345654,1026296,1345654,1024040,1026296,620064,1026296,533586
op1,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
op2,827302,857936,203448,801115,789202,1003857,203992,732156,1267250,1400454,1411856,775656,909487,1003299,635050,304228,197722,304173,689488,95004,194292,704432,162988,116256,702010,0,143938,184172,251354,629781,190548,732156,585754,735612,643882,585754,2784,585754,86574
